0i + 0j + 0k + 1
8.90118e-07i + -5.23599e-07j + 6.19592e-07k + 1
2.01586e-06i + 2.0944e-07j + 4.36332e-07k + 1
-9.51204e-07i + -1.85005e-06j + -8.72649e-09k + 1
-3.15063e-06i + -2.40007e-06j + -9.69627e-06k + 1
-2.58283e-06i + 3.77826e-06j + -5.21801e-06k + 1
4.53831e-06i + 1.58841e-06j + -6.65037e-06k + 1
-8.11497e-06i + 5.49724e-07j + -5.72411e-06k + 1
-7.62785e-06i + 4.36377e-08j + -5.91726e-06k + 1
-4.26733e-06i + 4.08407e-06j + -7.80162e-06k + 1
-3.90042e-06i + 6.24765e-06j + -6.71012e-06k + 1
-4.26733e-06i + -1.92859e-06j + -3.25504e-06k + 1
-9.09317e-06i + 2.62672e-06j + 6.54498e-07k + 1
-6.06563e-06i + 4.74777e-06j + -4.10193e-07k + 1
-1.43117e-06i + 8.29904e-06j + -6.64098e-06k + 1
1.39613e-07i + 9.59835e-07j + -1.93712e-06k + 1
6.89474e-06i + 4.83505e-06j + -1.06999e-05k + 1
-1.00356e-06i + -1.0821e-06j + -4.08407e-06k + 1
4.18837e-07i + 7.32965e-06j + -4.47632e-06k + 1
-3.96229e-06i + 5.11433e-06j + -4.65177e-06k + 1
-3.21108e-06i + -2.86205e-06j + -8.74322e-06k + 1
1.03847e-06i + -3.4383e-06j + -1.58825e-06k + 1
-2.30406e-06i + 5.99581e-06j + -2.19061e-06k + 1
-1.04709e-06i + 3.9266e-06j + -2.60028e-06k + 1
-8.76243e-06i + 5.14923e-07j + -2.87135e-06k + 1
-3.9266e-06i + 2.45194e-06j + -3.86552e-06k + 1
-7.30493e-06i + 3.16809e-06j + -4.70413e-06k + 1
-5.78577e-06i + 3.56047e-06j + -1.21039e-05k + 1
3.66483e-07i + 7.57397e-06j + -1.28094e-05k + 1
-1.70187e-06i + 2.32152e-06j + 1.88514e-06k + 1
-1.58825e-06i + 4.01426e-07j + -2.94088e-06k + 1
-8.32439e-06i + 4.22327e-06j + -1.26436e-05k + 1
-3.43864e-06i + 3.97102e-06j + -2.12428e-05k + 1
-2.53073e-06i + 4.56404e-06j + -2.30296e-05k + 1
1.98948e-06i + 1.22161e-06j + 1.57064e-07k + 1
-1.07087e-05i + 2.44371e-06j + 7.52312e-06k + 1
-1.26536e-06i + 7.75799e-06j + 1.34565e-05k + 1
1.12562e-06i + 4.78172e-06j + -1.42928e-05k + 1
-4.95673e-06i + 5.61996e-06j + -6.68461e-06k + 1
3.73538e-06i + 5.23651e-06j + -5.00087e-06k + 1
-3.29834e-06i + 4.95624e-06j + -1.0436e-05k + 1
-4.56404e-06i + 8.72649e-09j + -1.27496e-05k + 1
1.92878e-06i + 4.80014e-06j + -6.10926e-06k + 1
-1.49211e-06i + 2.06801e-06j + -1.09945e-06k + 1
-2.33001e-06i + 1.71042e-06j + 5.62869e-06k + 1
-3.84011e-07i + 3.92738e-06j + -4.10193e-07k + 1
-6.43962e-06i + 1.84986e-06j + -1.56453e-05k + 1
-2.08567e-06i + 4.21497e-06j + -1.61356e-05k + 1
1.9026e-06i + 3.09827e-06j + -1.61285e-05k + 1
9.77385e-07i + 5.14872e-06j + 1.22348e-05k + 1
-3.9266e-07i + 1.98948e-06j + -4.5374e-06k + 1
-1.8326e-06i + 3.26377e-06j + -5.55887e-06k + 1
-2.14675e-06i + 1.68424e-06j + -1.00269e-05k + 1
-3.8052e-06i + 2.33898e-06j + -1.1241e-05k + 1
