scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.113833,0.123574,0.331329
0.2,0.11386,0.123112,0.331188
0.3,0.113876,0.122694,0.331101
0.4,0.113876,0.12231,0.331044
0.5,0.113862,0.121956,0.33101
0.6,0.113835,0.121628,0.330996
0.7,0.113798,0.121321,0.330997
0.8,0.113751,0.121034,0.331012
0.9,0.113697,0.120764,0.331036
1,0.113637,0.120508,0.33107
1.1,0.113571,0.120265,0.331109
1.2,0.1135,0.120034,0.331154
1.3,0.113425,0.119813,0.331204
1.4,0.113347,0.119602,0.331258
1.5,0.113266,0.119399,0.331313
1.6,0.113183,0.119204,0.331371
1.7,0.113097,0.119017,0.331431
1.8,0.11301,0.118836,0.331492
1.9,0.112922,0.118662,0.331553
