scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.120052,0.107468,0.426439
0.2,0.117166,0.108605,0.390974
0.3,0.115607,0.110458,0.372708
0.4,0.114691,0.112255,0.361043
0.5,0.114144,0.113915,0.352751
0.6,0.113826,0.115439,0.34646
0.7,0.113656,0.116846,0.341475
0.8,0.113585,0.11815,0.3374
0.9,0.113586,0.119367,0.333984
1,0.113637,0.120508,0.33107
1.1,0.113724,0.121581,0.328545
1.2,0.113838,0.122594,0.32633
1.3,0.11397,0.123555,0.32437
1.4,0.114118,0.124468,0.322616
1.5,0.114275,0.125338,0.321039
1.6,0.11444,0.126168,0.319608
1.7,0.114611,0.126962,0.318304
1.8,0.114784,0.127723,0.317112
1.9,0.114961,0.128454,0.316012
