scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0977188,0.132639,0.162285
0.2,0.0855489,0.111869,0.163769
0.3,0.0799592,0.103396,0.169585
0.4,0.0767539,0.0992182,0.176428
0.5,0.0746762,0.0970008,0.18336
0.6,0.0732513,0.0958695,0.190099
0.7,0.0722616,0.095411,0.196587
0.8,0.0715892,0.095396,0.202833
0.9,0.0711622,0.095682,0.208869
1,0.0709307,0.0961746,0.21472
1.1,0.0708576,0.0968074,0.22041
1.2,0.0709143,0.097533,0.225955
1.3,0.0710779,0.0983174,0.23137
1.4,0.0713302,0.0991359,0.236664
1.5,0.0716566,0.0999711,0.241846
1.6,0.0720462,0.10081,0.246921
1.7,0.0724896,0.101646,0.251896
1.8,0.0729802,0.102472,0.256777
1.9,0.0735119,0.103286,0.261567
2,0.0740808,0.104085,0.266272
