scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.137403,0.156302,0.159982
0.2,0.102829,0.123051,0.16248
0.3,0.0873021,0.109392,0.168968
0.4,0.0797747,0.103381,0.176132
0.5,0.0758366,0.100419,0.183194
0.6,0.0736551,0.0987675,0.189981
0.7,0.072398,0.0977415,0.19649
0.8,0.0716536,0.0970475,0.202758
0.9,0.0712047,0.0965489,0.208824
1,0.0709307,0.0961746,0.21472
1.1,0.0707627,0.0958855,0.220467
1.2,0.0706606,0.095658,0.226083
1.3,0.0706004,0.0954778,0.23158
1.4,0.0705676,0.0953351,0.236964
1.5,0.0705537,0.095224,0.242241
1.6,0.070553,0.0951388,0.247417
1.7,0.0705625,0.0950771,0.252494
1.8,0.0705802,0.0950351,0.257476
1.9,0.0706049,0.0950113,0.262366
2,0.0706357,0.0950031,0.267166
