scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0961648,0.134514,0.215941
0.2,0.0848411,0.112639,0.215271
0.3,0.0793228,0.103484,0.215034
0.4,0.0761257,0.0988687,0.21494
0.5,0.074088,0.0963986,0.214899
0.6,0.0727294,0.0951722,0.214872
0.7,0.0718254,0.0947496,0.214844
0.8,0.0712619,0.0948754,0.214809
0.9,0.0709762,0.0953869,0.214768
1,0.0709307,0.0961746,0.21472
1.1,0.0711002,0.0971636,0.214665
1.2,0.0714666,0.0983015,0.214608
1.3,0.0720155,0.0995528,0.214548
1.4,0.0727359,0.100892,0.214487
1.5,0.0736181,0.102303,0.214425
1.6,0.0746533,0.103774,0.214363
1.7,0.0758344,0.105298,0.2143
1.8,0.0771545,0.106869,0.214239
1.9,0.0786078,0.108486,0.214179
2,0.0801879,0.110147,0.214119
