scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.105264,0.118365,0.260755
0.2,0.0889275,0.107218,0.246986
0.3,0.0794131,0.100462,0.239216
0.4,0.0752456,0.0979946,0.233429
0.5,0.0734219,0.0971444,0.228803
0.6,0.0724625,0.0967678,0.225013
0.7,0.071872,0.0965486,0.221839
0.8,0.0714657,0.0963947,0.21913
0.9,0.0711649,0.0962743,0.216781
1,0.0709307,0.0961746,0.21472
1.1,0.0707419,0.0960888,0.212888
1.2,0.0705853,0.096013,0.211246
1.3,0.0704533,0.0959454,0.209762
1.4,0.0703404,0.0958844,0.208413
1.5,0.0702426,0.0958282,0.207177
1.6,0.0701568,0.0957764,0.206039
1.7,0.0700811,0.0957286,0.204987
1.8,0.0700137,0.0956834,0.204009
1.9,0.0699536,0.0956412,0.203099
2,0.069899,0.0956011,0.202246
