scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0716772,0.0969252,0.223629
0.2,0.0715587,0.0968372,0.222463
0.3,0.07147,0.0967468,0.221388
0.4,0.0713845,0.0966586,0.220345
0.5,0.0713021,0.0965727,0.219336
0.6,0.0712226,0.096489,0.218357
0.7,0.0711459,0.0964076,0.217407
0.8,0.0710719,0.0963282,0.216486
0.9,0.0710004,0.0962504,0.21559
1,0.0709307,0.0961746,0.21472
1.1,0.0708635,0.0961004,0.213873
1.2,0.070798,0.0960279,0.213049
1.3,0.0707346,0.0959569,0.212247
1.4,0.070673,0.0958878,0.211465
1.5,0.0706129,0.0958196,0.210704
1.6,0.0705546,0.0957529,0.209962
1.7,0.0704978,0.0956875,0.209238
1.8,0.0704424,0.0956237,0.208531
1.9,0.0703885,0.0955608,0.207841
