scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0973821,0.127265,0.312009
0.2,0.0811104,0.11193,0.275221
0.3,0.0753196,0.104798,0.257179
0.4,0.0729494,0.101517,0.24555
0.5,0.0718888,0.0996944,0.237175
0.6,0.0713617,0.0984977,0.230752
0.7,0.0710912,0.0976454,0.225614
0.8,0.0709623,0.0970143,0.221376
0.9,0.0709191,0.0965378,0.217798
1,0.0709307,0.0961746,0.21472
1.1,0.0709787,0.0958971,0.212031
1.2,0.0710516,0.095686,0.209656
1.3,0.0711418,0.0955276,0.207535
1.4,0.0712436,0.0954118,0.205624
1.5,0.0713537,0.09533,0.203891
1.6,0.0714697,0.0952762,0.202307
1.7,0.0715892,0.0952459,0.200853
1.8,0.0717112,0.0952351,0.19951
1.9,0.0718347,0.0952409,0.198266
2,0.0719586,0.0952603,0.197107
