scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0760075,0.109514,0.215557
0.2,0.0720807,0.104388,0.215403
0.3,0.0706742,0.10157,0.215301
0.4,0.0701089,0.0997695,0.215204
0.5,0.0699345,0.0985437,0.215113
0.6,0.0699692,0.0976845,0.215026
0.7,0.0701249,0.0970771,0.214943
0.8,0.070354,0.0966519,0.214865
0.9,0.0706284,0.0963615,0.214791
1,0.0709307,0.0961746,0.21472
1.1,0.0712502,0.0960679,0.214651
1.2,0.0715795,0.0960247,0.214586
1.3,0.071914,0.0960322,0.214523
1.4,0.07225,0.0960803,0.214463
1.5,0.0725854,0.0961613,0.214405
1.6,0.0729188,0.0962695,0.214348
1.7,0.0732487,0.0963997,0.214294
1.8,0.0735748,0.096548,0.214242
1.9,0.0738966,0.0967111,0.214192
2,0.0742136,0.0968866,0.214143
