scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0709838,0.0962245,0.21478
0.2,0.0709534,0.0962232,0.214726
0.3,0.0709506,0.0962172,0.214725
0.4,0.0709478,0.0962112,0.214724
0.5,0.0709449,0.0962049,0.214723
0.6,0.0709421,0.0961992,0.214723
0.7,0.0709393,0.0961928,0.214722
0.8,0.0709364,0.0961867,0.214721
0.9,0.0709336,0.0961805,0.21472
1,0.0709307,0.0961746,0.21472
1.1,0.070928,0.0961684,0.214719
1.2,0.0709253,0.0961622,0.214718
1.3,0.0709224,0.0961562,0.214717
1.4,0.0709196,0.0961503,0.214716
1.5,0.0709169,0.0961442,0.214715
1.6,0.070914,0.0961381,0.214715
1.7,0.0709111,0.096132,0.214714
1.8,0.0709084,0.096126,0.214713
1.9,0.0709056,0.0961201,0.214712
2,0.0709029,0.0961139,0.214711
