scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0771467,0.106659,0.215222
0.2,0.0739679,0.102294,0.215116
0.3,0.0726091,0.0999993,0.215054
0.4,0.0718915,0.0985929,0.214997
0.5,0.0714781,0.0976761,0.214943
0.6,0.0712308,0.0970657,0.214893
0.7,0.071082,0.0966606,0.214847
0.8,0.0709952,0.0964016,0.214802
0.9,0.0709492,0.0962483,0.21476
1,0.0709307,0.0961746,0.21472
1.1,0.0709312,0.096162,0.214681
1.2,0.0709449,0.0961969,0.214643
1.3,0.0709678,0.0962688,0.214606
1.4,0.0709971,0.0963706,0.21457
1.5,0.0710315,0.0964963,0.214536
1.6,0.0710688,0.0966412,0.214503
1.7,0.0711085,0.0968012,0.214471
1.8,0.0711496,0.0969743,0.214439
1.9,0.0711916,0.0971573,0.214408
2,0.0712338,0.0973485,0.214378
