scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.0765116,0.0980139,0.215339
0.2,0.0727232,0.0970722,0.21513
0.3,0.0713739,0.0967561,0.215037
0.4,0.0707878,0.0965832,0.214969
0.5,0.0705423,0.0964678,0.214913
0.6,0.0704759,0.0963824,0.214865
0.7,0.0705139,0.0963152,0.214823
0.8,0.0706163,0.0962607,0.214785
0.9,0.0707598,0.0962146,0.214751
1,0.0709307,0.0961746,0.21472
1.1,0.07112,0.0961391,0.21469
1.2,0.071321,0.0961076,0.214662
1.3,0.0715302,0.096079,0.214636
1.4,0.0717447,0.0960526,0.214612
1.5,0.071962,0.0960276,0.214589
1.6,0.0721809,0.0960042,0.214567
1.7,0.0724002,0.0959825,0.214547
1.8,0.0726193,0.0959612,0.214527
1.9,0.0728377,0.0959409,0.214508
2,0.0730548,0.0959212,0.21449
