scaleQ,rmse_x,rmse_y,rmse_z
0.1,0.100549,0.118059,0.258889
0.2,0.0871138,0.107898,0.246563
0.3,0.0784121,0.101427,0.239058
0.4,0.0743227,0.0987105,0.233357
0.5,0.0726226,0.0976579,0.228766
0.6,0.071828,0.0971335,0.224993
0.7,0.0714086,0.0967974,0.221828
0.8,0.0711672,0.0965472,0.219126
0.9,0.0710208,0.096345,0.21678
1,0.0709307,0.0961746,0.21472
1.1,0.0708762,0.0960273,0.212888
1.2,0.0708455,0.095898,0.211246
1.3,0.0708312,0.0957831,0.209761
1.4,0.0708289,0.0956802,0.20841
1.5,0.0708353,0.0955876,0.207173
1.6,0.0708481,0.0955033,0.206034
1.7,0.0708659,0.0954264,0.20498
1.8,0.0708874,0.0953561,0.204002
1.9,0.0709116,0.0952913,0.20309
2,0.0709382,0.0952316,0.202236
