scaleQ,rmse_x,rmse_y,rmse_z
2,0.070963,0.0952256,0.202294
2.1,0.0709665,0.0951763,0.201436
2.2,0.0709959,0.0951251,0.200682
2.3,0.0710262,0.095077,0.199971
2.4,0.0710573,0.0950325,0.199298
2.5,0.0710886,0.0949909,0.198661
2.6,0.0711204,0.0949514,0.198055
2.7,0.0711526,0.0949148,0.197479
2.8,0.0711844,0.0948804,0.19693
2.9,0.0712164,0.0948477,0.196407
3,0.0712482,0.0948171,0.195906
3.1,0.0712801,0.0947884,0.195426
3.2,0.0713116,0.0947608,0.194966
3.3,0.071343,0.0947347,0.194525
3.4,0.071374,0.0947102,0.194101
3.5,0.0714048,0.0946866,0.193693
3.6,0.0714354,0.0946643,0.1933
3.7,0.0714656,0.0946431,0.192922
3.8,0.0714956,0.0946231,0.192556
3.9,0.071525,0.0946039,0.192204
4,0.0715541,0.0945855,0.191863
4.1,0.0715832,0.0945678,0.191533
4.2,0.0716116,0.0945511,0.191214
4.3,0.0716399,0.094535,0.190905
4.4,0.0716678,0.0945198,0.190605
4.5,0.0716953,0.0945052,0.190315
4.6,0.0717228,0.0944912,0.190033
4.7,0.0717494,0.0944774,0.189758
4.8,0.0717761,0.0944645,0.189492
4.9,0.0718023,0.0944518,0.189234
5,0.0718281,0.0944399,0.188982
5.1,0.0718537,0.0944282,0.188737
