scaleQ,rmse_x,rmse_y,rmse_z
5,0.0718497,0.0944361,0.189044
5.1,0.0718537,0.0944282,0.188737
5.2,0.071879,0.0944171,0.188499
5.3,0.071904,0.0944063,0.188266
5.4,0.0719286,0.094396,0.18804
5.5,0.0719529,0.094386,0.18782
5.6,0.0719772,0.0943763,0.187604
5.7,0.0720009,0.094367,0.187394
5.8,0.0720243,0.0943581,0.187189
5.9,0.0720476,0.0943493,0.186989
6,0.0720706,0.0943411,0.186794
6.1,0.0720933,0.0943329,0.186602
6.2,0.0721156,0.0943251,0.186416
6.3,0.0721378,0.0943175,0.186234
6.4,0.0721599,0.0943104,0.186055
6.5,0.0721813,0.0943032,0.18588
6.6,0.0722027,0.0942961,0.185709
6.7,0.0722238,0.0942892,0.185542
6.8,0.0722447,0.0942827,0.185378
6.9,0.0722653,0.0942765,0.185218
7,0.0722859,0.0942703,0.18506
7.1,0.0723061,0.0942643,0.184906
7.2,0.0723261,0.0942586,0.184755
7.3,0.0723459,0.0942528,0.184607
7.4,0.0723656,0.0942474,0.184462
7.5,0.0723849,0.0942422,0.18432
7.6,0.0724041,0.0942366,0.18418
7.7,0.0724229,0.0942317,0.184043
7.8,0.0724419,0.0942266,0.183908
7.9,0.0724604,0.094222,0.183776
8,0.0724789,0.0942174,0.183647
8.1,0.0724971,0.0942128,0.18352
8.2,0.072515,0.0942084,0.183394
8.3,0.0725329,0.0942037,0.183272
8.4,0.0725507,0.0941996,0.183151
8.5,0.0725681,0.0941954,0.183032
8.6,0.0725854,0.0941913,0.182915
8.7,0.0726026,0.0941874,0.182801
8.8,0.0726197,0.0941835,0.182688
8.9,0.0726366,0.0941796,0.182578
9,0.0726531,0.0941758,0.182469
9.1,0.0726696,0.0941722,0.182361
9.2,0.072686,0.0941687,0.182256
9.3,0.0727022,0.0941654,0.182152
9.4,0.0727182,0.094162,0.18205
9.5,0.0727341,0.0941587,0.18195
9.6,0.0727498,0.0941555,0.18185
9.7,0.0727654,0.0941523,0.181753
9.8,0.0727809,0.0941491,0.181657
9.9,0.0727963,0.0941462,0.181563
10,0.0728114,0.0941431,0.18147
