scaleQ,rmse_x,rmse_y,rmse_z
10,0.0697448,0.0942876,0.179033
11,0.0697156,0.0942173,0.177097
12,0.0697145,0.0941473,0.175403
13,0.0697179,0.0940852,0.173861
14,0.069725,0.0940293,0.172449
15,0.0697347,0.0939789,0.171151
16,0.0697467,0.0939335,0.169953
17,0.0697605,0.093892,0.168843
18,0.0697752,0.0938538,0.167811
19,0.0697912,0.093819,0.16685
20,0.0698077,0.0937866,0.165951
21,0.0698247,0.0937566,0.16511
22,0.0698423,0.0937289,0.164319
23,0.0698601,0.093703,0.163575
24,0.0698779,0.0936786,0.162873
25,0.069896,0.0936556,0.162211
26,0.0699139,0.093634,0.161584
27,0.0699321,0.0936133,0.160989
28,0.0699499,0.0935938,0.160425
29,0.0699676,0.0935755,0.159889
30,0.0699852,0.0935579,0.159379
31,0.0700026,0.0935411,0.158893
32,0.0700194,0.093525,0.158429
33,0.0700364,0.0935095,0.157986
34,0.070053,0.0934945,0.157563
35,0.0700693,0.0934802,0.157157
36,0.0700856,0.0934663,0.156769
37,0.0701013,0.0934529,0.156396
38,0.0701172,0.0934399,0.156039
39,0.0701325,0.0934272,0.155696
40,0.0701476,0.093415,0.155367
41,0.0701623,0.0934029,0.155049
42,0.070177,0.0933913,0.154743
43,0.0701912,0.0933797,0.154449
44,0.0702052,0.0933686,0.154166
45,0.0702192,0.0933577,0.153893
46,0.0702326,0.0933468,0.153629
47,0.0702458,0.0933366,0.153374
48,0.0702589,0.0933264,0.153128
49,0.0702717,0.0933162,0.15289
50,0.0702841,0.0933062,0.15266
51,0.0702964,0.0932963,0.152437
52,0.0703085,0.0932869,0.152222
53,0.0703203,0.0932772,0.152014
54,0.070332,0.0932677,0.151811
55,0.0703434,0.0932585,0.151616
56,0.0703545,0.0932493,0.151425
57,0.0703655,0.0932403,0.151241
58,0.0703761,0.0932311,0.151062
59,0.0703868,0.0932224,0.150889
60,0.0703971,0.0932135,0.15072
