roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,8.6743,-2.7771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1504,1502,1501,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-166.2597,10.8597,-77.9722,0.2743,-0.0686,0.1200,0.1200,0.0000,0.0000,0.3686,-0.0237,0.0129,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3406,-0.0296,-0.1495,-0.0148,-0.0249,0.9463,0.4052,-0.3579,-0.3793,0.3320,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2521,10.8616,-77.9704,0.2057,-0.0686,0.1200,0.1200,0.0000,0.0000,0.3686,-0.0237,0.0127,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3945,0.0706,-0.1010,-0.0124,-0.0289,0.9885,0.4050,-0.3576,-0.3795,0.3321,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2449,10.8633,-77.9696,0.2057,-0.1371,0.1800,0.1200,0.0000,0.0000,0.3687,-0.0237,0.0115,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3369,0.0538,0.0073,-0.0151,-0.0270,0.9902,0.4039,-0.3565,-0.3809,0.3335,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2380,10.8650,-77.9692,0.2057,-0.1371,0.1200,0.1200,0.0000,0.0000,0.3686,-0.0237,0.0125,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3000,0.0958,-0.0122,-0.0135,-0.0271,0.9951,0.4048,-0.3574,-0.3798,0.3323,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2321,10.8666,-77.9686,0.2743,-0.0686,0.1200,0.1200,0.0000,0.0000,0.3686,-0.0237,0.0127,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.2434,0.0618,-0.0497,-0.0141,-0.0301,0.9942,0.4050,-0.3576,-0.3796,0.3322,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2254,10.8683,-77.9681,0.1371,-0.0686,0.1200,0.1200,0.0000,0.0000,0.3685,-0.0237,0.0124,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.3691,0.0806,0.0290,-0.0122,-0.0299,0.9915,0.4046,-0.3572,-0.3798,0.3324,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2182,10.8701,-77.9678,0.2057,-0.0686,0.1200,0.1200,0.0000,0.0000,0.3685,-0.0237,0.0125,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.4409,0.0072,0.0044,-0.0170,-0.0341,0.9925,0.4047,-0.3573,-0.3797,0.3323,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.2098,10.8724,-77.9670,0.1371,-0.2057,0.1200,0.1200,0.0000,0.0000,0.3684,-0.0237,0.0127,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.5634,-0.0682,-0.0711,-0.0159,-0.0316,0.9918,0.4048,-0.3574,-0.3793,0.3320,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
-166.1996,10.8755,-77.9651,0.2057,-0.0686,0.1800,0.1200,0.0000,0.0000,0.3684,-0.0236,0.0117,996,1502,1502,1500,1000,1000,1505,1000,1000,1505,1005,1000,1505,0.6869,-0.1367,-0.0596,-0.0123,-0.0322,0.9907,0.4038,-0.3565,-0.3804,0.3331,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0500,0.0002,0,-1.3605,0.0000,-0.0010,-1.3605,0.0000,-0.0010
