roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
0.0000,0.0000,0.0000,1.6575,6.1970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010,0.0000,0.0000,0.0000,0.0000
-48.6875,15.7435,-6.9201,-0.1657,-0.0821,-8.1000,-8.1000,-43.2000,0.0000,0.0970,-0.0525,-0.1299,973,1463,1460,1460,2008,1000,1505,1000,1000,1982,1371,1699,1016,-0.1334,-0.2052,0.0511,-0.0245,-0.0612,0.4515,0.0195,0.0854,-0.2794,0.1745,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-2.2500,-350.0000,-0.0060,-2.2500,-350.0000,-0.0060,14.5636,48.9864,-1.3500,-1.3500
-48.2387,15.6214,-6.7648,0.0000,0.2462,-2.3400,-2.4000,-12.8000,0.0000,0.1085,-0.0394,-0.0397,971,1461,1460,1460,2008,1000,1505,1000,1000,1982,1371,1699,1016,0.3541,-0.6512,0.0461,-0.0518,-0.1292,0.9713,0.1082,-0.0294,-0.1877,0.1088,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,14.8870,49.4644,-0.3900,-0.4000
-48.1960,15.6099,-6.7499,-0.1657,-0.0000,0.0000,-0.1800,-0.9600,0.0000,0.1135,-0.0346,0.0053,996,1500,1497,1497,2008,1000,1505,1000,1000,1982,1370,1698,1016,0.6160,-0.3753,0.0767,-0.0489,-0.1370,0.9951,0.1534,-0.0841,-0.1428,0.0736,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,14.9276,49.5025,0.0000,-0.0300
-48.1525,15.6013,-6.7387,0.0829,0.1642,0.1200,0.0000,0.0000,0.0000,0.1136,-0.0345,-0.0012,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,0.7442,0.1778,0.0290,-0.0506,-0.1376,0.9904,0.1468,-0.0779,-0.1493,0.0803,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,14.9689,49.5405,0.0200,0.0000
-48.1088,15.5955,-6.7318,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.1134,-0.0346,-0.0012,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,0.8600,0.5082,0.0108,-0.0499,-0.1338,0.9997,0.1468,-0.0777,-0.1492,0.0800,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.0103,49.5785,0.0200,0.0000
-48.0641,15.5919,-6.7276,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1133,-0.0347,-0.0013,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,0.9669,0.7068,0.0286,-0.0521,-0.1350,0.9951,0.1466,-0.0773,-0.1493,0.0799,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.0516,49.6164,0.0200,0.0000
-48.0193,15.5891,-6.7256,0.0829,0.0821,0.1200,0.0000,0.0000,0.0000,0.1132,-0.0348,-0.0009,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.0154,1.0186,-0.0983,-0.0532,-0.1344,0.9927,0.1470,-0.0774,-0.1489,0.0793,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.0930,49.6543,0.0200,0.0000
-47.9753,15.5872,-6.7255,0.0000,0.1642,0.1200,0.0000,0.0000,0.0000,0.1131,-0.0348,-0.0008,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,1.0085,1.0341,-0.1417,-0.0591,-0.1348,0.9965,0.1471,-0.0775,-0.1487,0.0790,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,15.1344,49.6921,0.0200,0.0000
-47.9302,15.5855,-6.7245,0.0000,0.0821,0.2400,0.0600,0.3200,0.0000,0.1132,-0.0347,0.0009,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,1.1322,1.0124,-0.0833,-0.0537,-0.1324,0.9977,0.1488,-0.0794,-0.1469,0.0776,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,15.1758,49.7300,0.0400,0.0100
