roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
0.0000,0.0000,0.0000,1.7403,4.8837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000,1500,1500,1500,2000,1000,1000,1000,1500,1500,1500,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.2998,34.8321,13.2806,-0.0829,0.0000,-7.8600,-6.5400,-42.8800,0.0000,-0.4757,-0.3569,-0.1288,910,1369,1391,1366,2008,1000,1505,1000,1000,1004,1005,1014,1014,0.1365,-0.0222,-0.0095,-0.0162,0.0150,0.8753,-0.2476,0.9614,-0.0101,-0.7037,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5060,-4.9280,-256.2000,-0.5060,33.0048,41.5556,-1.3100,-1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.2656,34.8126,13.2600,-0.0829,0.0000,-2.2200,-0.7800,-12.4800,0.0000,-0.4266,-0.3070,-0.0378,971,1462,1487,1461,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0875,-0.0184,-0.0323,-0.0184,0.0148,0.9900,-0.1574,0.7715,0.0818,-0.6959,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.9735,41.5300,-0.3700,-0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.2309,34.7937,13.2395,0.0000,0.0000,-0.4800,0.9000,-3.2000,0.0000,-0.4113,-0.2925,-0.0101,991,1492,1515,1490,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0613,0.0397,-0.0438,-0.0190,0.0151,0.9977,-0.1289,0.7138,0.1088,-0.6937,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.9417,41.5047,-0.0800,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.1960,34.7745,13.2186,-0.0829,0.0821,0.0000,1.3200,-0.9600,0.0000,-0.4069,-0.2886,-0.0031,996,1500,1522,1497,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0882,-0.0372,-0.1088,-0.0195,0.0165,0.9970,-0.1214,0.6986,0.1152,-0.6923,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.9093,41.4793,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.1613,34.7558,13.1979,0.0000,0.0000,0.1200,1.5000,0.0000,0.0000,-0.4056,-0.2869,-0.0004,996,1502,1525,1500,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0890,0.0302,-0.0773,-0.0212,0.0151,0.9949,-0.1190,0.6929,0.1183,-0.6921,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.8778,41.4542,0.0200,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.1267,34.7366,13.1773,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4053,-0.2857,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.1130,-0.0129,-0.0360,-0.0173,0.0125,0.9984,-0.1182,0.6895,0.1210,-0.6924,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.8466,41.4287,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.0919,34.7170,13.1567,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4049,-0.2855,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.0508,-0.0191,-0.0099,-0.0186,0.0116,1.0016,-0.1180,0.6890,0.1208,-0.6918,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.8147,41.4033,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.0570,34.6976,13.1360,0.0000,0.0000,0.1800,1.6200,0.6400,0.0000,-0.4041,-0.2854,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0781,0.0103,-0.0487,-0.0209,0.0144,0.9957,-0.1172,0.6880,0.1203,-0.6910,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,32.7830,41.3780,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.0222,34.6786,13.1152,-0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.4044,-0.2852,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.1229,0.0147,-0.0834,-0.0188,0.0122,0.9939,-0.1175,0.6880,0.1208,-0.6913,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.7511,41.3525,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
