roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch
0.0000,0.0000,0.0000,9.1543,-2.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,998,1492,1497,1504,1000,1000,1505,1000,1000,1359,1005,1122,1131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-0.3000,-100.0000,-0.0010,-0.3000,-100.0000,-0.0010
-40.3779,62.2719,-25.1313,0.0000,-0.0000,-0.4800,-0.1800,0.6400,0.0000,0.0900,-0.1377,0.0144,996,1492,1497,1502,1000,1000,1505,1000,1000,1359,1005,1122,1131,0.0077,0.0370,-0.0229,-0.0032,0.0013,0.9644,0.2420,0.0333,-0.2133,-0.0620,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8693,-3.5000,-0.0022,-1.8693,-3.5000,-0.0022
-40.3363,62.2519,-25.0946,-0.0686,-0.1371,-0.4800,-0.1800,0.6400,0.0000,0.0899,-0.1376,0.0153,996,1492,1497,1502,1000,1000,1505,1000,1000,1359,1005,1122,1131,-0.0103,-0.0496,-0.0129,-0.0061,0.0002,1.0013,0.2428,0.0324,-0.2121,-0.0630,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8693,-3.5000,-0.0022,-1.8693,-3.5000,-0.0022
-40.2935,62.2314,-25.0564,0.0000,-0.0686,-0.4800,-0.1800,0.6400,0.0000,0.0898,-0.1375,0.0152,996,1492,1497,1502,1000,1000,1505,1000,1000,1361,1005,1122,1131,-0.0232,-0.0568,0.0344,-0.0050,0.0008,1.0015,0.2425,0.0325,-0.2121,-0.0629,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8747,-3.5000,-0.0022,-1.8747,-3.5000,-0.0022
-40.2509,62.2110,-25.0182,0.0000,-0.0686,-0.4800,-0.1800,0.6400,0.0000,0.0897,-0.1375,0.0152,996,1492,1497,1502,1000,1000,1505,1000,1000,1361,1005,1122,1131,-0.0020,-0.0344,0.0180,-0.0054,0.0010,0.9945,0.2424,0.0326,-0.2120,-0.0630,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8747,-3.5000,-0.0022,-1.8747,-3.5000,-0.0022
-40.2078,62.1902,-24.9794,0.0000,-0.0000,-0.4800,-0.1800,0.6400,0.0000,0.0896,-0.1374,0.0151,996,1492,1497,1502,1000,1000,1505,1000,1000,1359,1005,1122,1131,0.0329,-0.0742,0.0531,-0.0044,0.0011,1.0032,0.2422,0.0327,-0.2119,-0.0630,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8693,-3.5000,-0.0022,-1.8693,-3.5000,-0.0022
-40.1651,62.1698,-24.9416,0.0000,-0.0686,-0.4800,-0.1800,0.6400,0.0000,0.0895,-0.1374,0.0150,998,1492,1497,1504,1000,1000,1505,1000,1000,1359,1005,1122,1131,-0.0284,-0.0090,0.0921,-0.0050,0.0010,1.0048,0.2420,0.0329,-0.2119,-0.0629,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8693,-3.5000,-0.0022,-1.8693,-3.5000,-0.0022
-40.1225,62.1495,-24.9035,0.0000,-0.0686,-0.4800,-0.1800,0.6400,0.0000,0.0894,-0.1374,0.0141,996,1492,1497,1502,1000,1000,1505,1000,1000,1359,1005,1122,1131,0.0239,-0.0500,0.0634,-0.0047,0.0010,1.0023,0.2409,0.0338,-0.2127,-0.0620,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8693,-3.5000,-0.0022,-1.8693,-3.5000,-0.0022
-40.0787,62.1296,-24.8644,0.0686,-0.0686,-0.4800,-0.1800,0.6400,0.0000,0.0893,-0.1373,0.0149,996,1492,1497,1502,1000,1000,1505,1000,1000,1361,1005,1122,1131,-0.0222,0.0295,0.1293,-0.0075,-0.0037,1.0007,0.2416,0.0331,-0.2117,-0.0629,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8747,-3.5000,-0.0022,-1.8747,-3.5000,-0.0022
-40.0363,62.1096,-24.8262,0.0000,-0.0000,-0.4800,-0.1800,0.6400,0.0000,0.0892,-0.1373,0.0152,996,1492,1497,1502,1000,1000,1505,1000,1000,1361,1005,1122,1131,-0.0391,-0.0142,0.0325,-0.0039,0.0016,1.0027,0.2417,0.0328,-0.2113,-0.0632,0.2204,0.0082,0.0438,0.2204,0.0082,0.0438,0.3000,0.0600,0.0002,0,-1.8747,-3.5000,-0.0022,-1.8747,-3.5000,-0.0022
